curso_id,nombre,seccion,creditos,escuela_id,formato_id,campus_id,docente_id
PRC100R,Retiro: Dimensión Bíblica,1,0,1,1,1,1
PRC100S,Servicio Pastoral. Mundo Infantil y Juvenil,1,0,1,1,1,1
PRC200R,Retiro: Cristo en el Misterio de Hoy,1,0,1,1,1,1
PRC200S,Servicio Pastoral. Mundo Tercera Edad,1,0,1,1,1,1
PRC300R,Retiro: Dimensión Carismática,1,0,1,1,1,1
PRC400R,Ejercicios Espirituales,1,0,1,1,1,1
VRA1220,Taller de Habilidades para la Vida Universitaria I,1,5,1,1,1,2
VRA1220,Taller de Habilidades para la Vida Universitaria I,2,5,1,1,1,3
VRA1220,Taller de Habilidades para la Vida Universitaria I,3,5,1,1,1,4
VRA3000,Convenio Postgrado Puc-U Chile,1,1,1,2,2,5
VRA4000,Integridad Académica en la Uc,1,0,1,1,1,6
VRA4000,Integridad Académica en la Uc,1,0,1,1,1,1
VRA4000,Integridad Académica en la Uc,2,0,1,1,1,6
VRA4000,Integridad Académica en la Uc,2,0,1,1,1,1
VRA4000,Integridad Académica en la Uc,3,0,1,1,1,6
VRA4000,Integridad Académica en la Uc,3,0,1,1,1,1
VRA4000,Integridad Académica en la Uc,4,0,1,1,1,6
VRA4000,Integridad Académica en la Uc,4,0,1,1,1,1
ACO256E,Improvisación y Máscara,1,10,2,2,1,7
ACO264E,Habilidades Comunicativas Orales,1,10,2,2,2,8
ACO264E,Habilidades Comunicativas Orales,2,10,2,2,2,9
ACO264E,Habilidades Comunicativas Orales,3,10,2,2,1,10
ACO264E,Habilidades Comunicativas Orales,4,10,2,2,1,10
ACO286E,Cuerpo y Espacio Escénico,1,10,2,2,3,11
ACO3023,Taller de Creación Escénica,1,10,2,2,3,12
ACO4001,Performance y Artes Vivas,1,10,2,3,3,13
ACO4007,Teatrología Ii: Aplicaciones y Materialidades,1,10,2,3,3,14
ACT101A,Taller de Montaje: Teatro Dramático,1,15,2,2,3,15
ACT101B,Taller de Montaje: Teatro Fragmentario,1,15,2,2,3,16
ACT101C,Taller de Montaje: Teatro Épico y Narrativo,1,15,2,2,3,17
ACT103A,Procesos Creativos del Cuerpo,1,10,2,2,3,12
ACT103C,Cuerpo y Memoria,1,10,2,2,3,18
