,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
0,ACT113,No tiene,No tiene,No tiene,(ACT1213)
1,ACT107B,No tiene,No tiene,No tiene,No tiene
2,ACT107C,No tiene,No tiene,No tiene,No tiene
3,ACT112,No tiene,No tiene,No tiene,(ACT1214)
4,ACT105B,No tiene,No tiene,No tiene,No tiene
5,ACT111,No tiene,No tiene,No tiene,(ACT1211)
6,ACT106B,No tiene,No tiene,No tiene,No tiene
7,ACT106D,No tiene,No tiene,No tiene,(ACO236E o ACT1256)
8,ACT105A,No tiene,No tiene,No tiene,No tiene
9,ACT103A,ACT143,No tiene,No tiene,No tiene
10,ACT103C,ACT143,No tiene,No tiene,No tiene
11,ACT101C,(ACT141),No tiene,No tiene,(ACT1251 o ACT1261)
12,ACT101A,(ACT141),No tiene,No tiene,No tiene
13,ACT101B,(ACT141),No tiene,No tiene,(ACT1261)
14,ACO4001,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y (Escuela = Arte),No tiene
15,ACO4007,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
16,EAE105A,No tiene,No tiene,No tiene,(EAE100A o EAE102A o EAE102C o EAE102G o EAE102S)
17,EDU4035,No tiene,No tiene,No tiene,No tiene
18,EDU4030,No tiene,No tiene,No tiene,No tiene
19,EDU4222,(EDU4221),No tiene,No tiene,No tiene
20,END3110,No tiene,No tiene,No tiene,No tiene
21,END3010,No tiene,No tiene,No tiene,No tiene
22,ENB3110,No tiene,No tiene,No tiene,No tiene
23,ENF2524,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENA2502)
24,LET4491,LET4439 y LET4490,y, (Programa = Doct En Ling��stica),No tiene
25,MGP3020,No tiene,No tiene,No tiene,No tiene
26,MPT3040,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister) o (Nivel = Postitulo)),No tiene
27,MTC1020,No tiene,No tiene,No tiene,No tiene
28,MUC695D,(MUC694 o MUC694D o MUC903C o MUC903D),No tiene,No tiene,(MUC695 o MUC904D)
29,MUC721A,MUC720,No tiene,No tiene,(MUC721)
30,MUC903P,MUC902P o MUC693G,No tiene,No tiene,(MUC694G)
31,MUC907G,(MUC906G o MUC813 o MUC906E o MUC906F o MUC906H o MUC906I o MUC906J o MUC906K o MUC906L o MUC906M),No tiene,No tiene,(MUC814)
32,VIP501,(VIP053),No tiene,No tiene,No tiene
33,VIP071,(VIP044),No tiene,No tiene,No tiene
34,VIP070,(VIP041),No tiene,No tiene,No tiene
35,VIP055,(VIP041),No tiene,No tiene,No tiene
36,VIP054,(VIP005),No tiene,No tiene,No tiene
37,VIP053,(VIP041),No tiene,No tiene,No tiene
38,VIP052,(VIP030),No tiene,No tiene,No tiene
39,VIP051,(VIP041),No tiene,No tiene,No tiene
40,VIP050,No tiene,No tiene,No tiene,No tiene
41,VIP043,(VIP023),No tiene,No tiene,No tiene
42,VIP033,(VIP001),No tiene,No tiene,No tiene
43,VIP032,No tiene,No tiene,No tiene,(VIL303)
44,VIP030,(VIP020),No tiene,No tiene,No tiene
45,VIP020,No tiene,No tiene,No tiene,No tiene
46,VIP005,No tiene,No tiene,No tiene,No tiene
47,VIP004,No tiene,No tiene,No tiene,No tiene
48,VIP003,No tiene,No tiene,No tiene,(VIL104)
49,VIP001,No tiene,No tiene,No tiene,No tiene
50,VIL631,No tiene,No tiene, (Nivel = Pregrado),No tiene
51,VIL617,No tiene,No tiene,No tiene,No tiene
52,VIL608,No tiene,No tiene,No tiene,No tiene
53,VIL604,(BIO100P) o (VIP004),No tiene,No tiene,No tiene
54,VIL602,No tiene,No tiene,No tiene,No tiene
55,VIL521,(VIL107),No tiene,No tiene,No tiene
56,VIL520,(VIL121D y VIL201) o (VIL121D y VIL7000),No tiene,No tiene,No tiene
57,VIL511,VIL105 o VIL4001,No tiene,No tiene,No tiene
