campus,formato,sigla,nombre_x,creditos,escuela_id
San Joaquín,Remoto,PRC100R,Retiro: Dimensión Bíblica,0,1
San Joaquín,Remoto,PRC100S,Servicio Pastoral. Mundo Infantil y Juvenil,0,1
San Joaquín,Remoto,PRC200R,Retiro: Cristo en el Misterio de Hoy,0,1
San Joaquín,Remoto,PRC200S,Servicio Pastoral. Mundo Tercera Edad,0,1
San Joaquín,Remoto,PRC300R,Retiro: Dimensión Carismática,0,1
San Joaquín,Remoto,PRC400R,Ejercicios Espirituales,0,1
San Joaquín,Remoto,VRA1220,Taller de Habilidades para la Vida Universitaria I,5,1
Casa Central,Presencial,VRA3000,Convenio Postgrado Puc-U Chile,1,1
San Joaquín,Remoto,VRA4000,Integridad Académica en la Uc,0,1
San Joaquín,Presencial,ACO256E,Improvisación y Máscara,10,2
Casa Central,Presencial,ACO264E,Habilidades Comunicativas Orales,10,2
San Joaquín,Presencial,ACO264E,Habilidades Comunicativas Orales,10,2
Oriente,Presencial,ACO286E,Cuerpo y Espacio Escénico,10,2
Oriente,Presencial,ACO3023,Taller de Creación Escénica,10,2
Oriente,Híbrido,ACO4001,Performance y Artes Vivas,10,2
Oriente,Híbrido,ACO4007,Teatrología Ii: Aplicaciones y Materialidades,10,2
Oriente,Presencial,ACT101A,Taller de Montaje: Teatro Dramático,15,2
Oriente,Presencial,ACT101B,Taller de Montaje: Teatro Fragmentario,15,2
Oriente,Presencial,ACT101C,Taller de Montaje: Teatro Épico y Narrativo,15,2
Oriente,Presencial,ACT103A,Procesos Creativos del Cuerpo,10,2
Oriente,Presencial,ACT103C,Cuerpo y Memoria,10,2
Oriente,Presencial,ACT105A,"Estudios Teatrales en Chile: Problemas, Contextos y Prácticas",10,2
Oriente,Presencial,ACT105B,Poiéticas Teatrales,10,2
Oriente,Presencial,ACT106B,Ejercicios de Escritura Teatral,10,2
Oriente,Presencial,ACT106D,Taller de Dramaturgía,10,2
Oriente,Presencial,ACT107B,Dirección a Partir de Soportes Textuales No Dramáticos,10,2
Oriente,Presencial,ACT107C,Dirección de Actores en la Puesta en Escena,10,2
Oriente,Presencial,ACT111,Actuación I: Percepción Teatral,10,2
Oriente,Presencial,ACT112,Voz I: Percepción,5,2
Oriente,Presencial,ACT113,Movimiento I: Conciencia Corporal,5,2
Oriente,Presencial,ACT114,Teatro Chileno,10,2
Oriente,Presencial,ACT115,El Proceso de Creación Teatral,10,2
San Joaquín,Presencial,ACT115,El Proceso de Creación Teatral,10,2
Oriente,Presencial,ACT1291,Re-Conociendo la Emoción,10,2
Oriente,Presencial,ACT1294,Laboratorio de Puesta en Escena para Lenguaje Audiovisual,10,2
Oriente,Presencial,ACT1305,Actuación: Exploración y Acontecimiento,10,2
San Joaquín,Presencial,ACT1307,Comunicación Expresiva: Conciencia Vocal y Corporal,10,2
Oriente,Presencial,ACT131,Actuación Iii: la Escena Moderna en el Siglo XX,10,2
Casa Central,Presencial,ACT1311,Mitos Clásicos y Creación de Relatos en la Dramaturgia,10,2
Oriente,Remoto,ACT1312,Performance Como Experiencia para la Transformación Social,10,2
San Joaquín,Presencial,ACT1313,Problemas de las Artes Escénicas Hoy,10,2
San Joaquín,Presencial,ACT1314,Teatro Aplicado,10,2
San Joaquín,Presencial,ACT1315,La Experiencia de la Creación Teatral,10,2
Oriente,Presencial,ACT1318,Improvisación y Juego Escénico,10,2
Oriente,Presencial,ACT132,Voz Iii: Texto y Expresividad,5,2
Oriente,Presencial,ACT133,Movimiento Iii: Articulación y Construcción,5,2
Oriente,Presencial,ACT134,Del Teatro Barroco al Realismo Histórico,10,2
Oriente,Presencial,ACT136,Teoría y Práctica de la Dramaturgía II,10,2
Oriente,Presencial,ACT139,Pedagogía Teatral,10,2
Oriente,Presencial,ACT141,Actuación Iv: la Escena Clásica y Barroca,10,2
Oriente,Presencial,ACT142,Voz Iv: Texto Clásico,5,2
Oriente,Presencial,ACT143,Movimiento Iv: Dramaturgia Corporal,5,2
Oriente,Presencial,ACT148,Gestión y Producción Teatral,10,2
Oriente,Presencial,ACT154,Transformaciones del Cuerpo y la Palabra en Escena (2da Mitad Siglo Xx),10,2
Oriente,Presencial,ACT181,Realización Artística,20,2
Oriente,Presencial,ACT185,Taller de Investigación Teórica,10,2
San Joaquín,Presencial,AGC204,Mecanizacion,10,3
San Joaquín,Presencial,AGC206,Producción de Cultivos,10,3
San Joaquín,Presencial,AGC220,Flora Nativa,10,3
San Joaquín,Presencial,AGC250,Manejo de Céspedes,10,3
San Joaquín,Presencial,AGC261,Material Vegetal y Diseño de Parques y Jardines,10,3
San Joaquín,Presencial,AGC262,Manejo del Paisaje,10,3
San Joaquín,Presencial,AGC3002,Viticultura Avanzada,10,3
San Joaquín,Presencial,AGC310,Sistemas Intensivos de Producción Vegetal,10,3
San Joaquín,Presencial,AGC312,Biología y Producción de Semillas,10,3
San Joaquín,Presencial,AGC313,Principios de Mejoramiento Genético,10,3
San Joaquín,Presencial,AGC317,Biología y Manejo de Malezas,10,3
San Joaquín,Presencial,AGC318,Biotecnología Agropecuaria,10,3
San Joaquín,Presencial,AGC319,Diseño y Manejo del Riego para Cultivos,10,3
San Joaquín,Presencial,AGC322,Ciencia de Plaguicidas e Interacciones Ambientales,10,3
San Joaquín,Presencial,AGC3600,Propiedades y Manejo de Pesticidas,10,3
San Joaquín,Presencial,AGC3610,Virología Vegetal,10,3
San Joaquín,Presencial,AGC3650,Monitoreo e Identificacion de Insectos,10,3
San Joaquín,Presencial,AGC3661,Metabolismo Intermediario de Plantas,10,3
San Joaquín,Presencial,AGC3665,Biotecnologia Vegetal,10,3
San Joaquín,Presencial,AGC3666,Fisiología de Plantas Frutales,10,3
San Joaquín,Presencial,AGC3667,Relacion Suelo-Planta-Agua,10,3
San Joaquín,Presencial,AGC3779,Fisiología de Plantas Cultivadas,10,3
San Joaquín,Presencial,AGC3781,Microbiología de Fermentaciones,10,3
San Joaquín,Presencial,AGC3783,Anatomía Vegetal Aplicada,5,3
San Joaquín,Presencial,AGC3784,Microbiología e Inocuidad de Frutas y Verduras,10,3
San Joaquín,Presencial,AGC3800,Tesis I,20,3
San Joaquín,Presencial,AGC3801,Tesis II,30,3
San Joaquín,Presencial,AGE206,Introducción a la Economía Ambiental y de los Recursos Naturales,10,3
San Joaquín,Presencial,AGE207,Economía Agraria y Ambiental,10,3
San Joaquín,Presencial,AGE259,Comercialización Internacional de Fruta Fresca,10,3
San Joaquín,Presencial,AGE3009,Dirección Estratégica,10,3
San Joaquín,Presencial,AGE303,Estrategia Empresarial,10,3
San Joaquín,Presencial,AGE308,Comercialización Agropecuaria,10,3
San Joaquín,Presencial,AGE312,Políticas Agrarias,10,3
San Joaquín,Presencial,AGE313,Economía Ambiental,10,3
San Joaquín,Presencial,AGE315,Gestión de Operaciones,10,3
San Joaquín,Presencial,AGE317,Análisis de Decisiones,10,3
San Joaquín,Presencial,AGE3666,Entorno Legal y Tributario de la Actividad Silvoagropecuaria,10,3
San Joaquín,Presencial,AGE3667,Finanzas Corporativas y Sustentabilidad,10,3
San Joaquín,Presencial,AGE3792,Politicas Agrarias,10,3
San Joaquín,Presencial,AGE3796,Desarrollo Económico de la Agricultura,10,3
San Joaquín,Presencial,AGE3801,Economía del Agua,10,3
San Joaquín,Presencial,AGE3810,Métodos Matemáticos para Microeconomía Aplicada,10,3
San Joaquín,Presencial,AGE3811,Fundamentos de la Economía Agraria y Ambiental,10,3
