escuela,sigla,description
Actuación,ACT106B,"CURSO: EJERCICIOS DE ESCRITURA TEATRAL
TRADUCCION: PLAYWRITING EXERCICES
SIGLA: ACT106B
CRÉDITOS: 10
MÓDULOS: 02
CARÁCTER: OPTATIVO
TIPO: TALLER
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACT103A,"CURSO: PROCESOS CREATIVOS DEL CUERPO
TRADUCCION: CREATIVE PROCESSES OF THE BODY
SIGLA: ACT103A
CRÉDITOS: 10
MÓDULOS: 02
CARÁCTER: OPTATIVO
TIPO: TALLER
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACT105B,"CURSO: POIÉTICAS TEATRALES
TRADUCCION: THEATRICAL POIETICS
SIGLA: ACT105B
CRÉDITOS: 10
MÓDULOS: 02
CARÁCTER: OPTATIVO
TIPO: CÁTEDRA
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACT101C,"CURSO: TALLER DE MONTAJE: TEATRO ÉPICO Y NARRATIVO
TRADUCCION: THEATRE WORKSHOP: EPIC AND NARRATIVE PRACTICES
SIGLA: ACT101C
CRÉDITOS: 15
MÓDULOS: 09
CARÁCTER: MÍNIMO
TIPO: TALLER
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACT101A,"CURSO: TALLER DE MONTAJE: TEATRO DRAMÁTICO
TRADUCCION: THEATRE WORKSHOP: DRAMATIC PRACTICES
SIGLA: ACT101A
CRÉDITOS: 15
MÓDULOS: 09
CARÁCTER: MÍNIMO
TIPO: TALLER
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACT101B,"CURSO: TALLER DE MONTAJE: TEATRO FRAGMENTARIO
TRADUCCION: THEATRE WORKSHOP: FRAGMENTED PRACTICES
SIGLA: ACT101B
CRÉDITOS: 15
MÓDULOS: 09
CARÁCTER: MÍNIMO
TIPO: TALLER
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACT105A,"CURSO: ESTUDIOS TEATRALES EN CHILE: PROBLEMAS, CONTEXTOS Y PRÁCTICAS 
TRADUCCION: THEATRE STUDIES IN CHILE: PROBLEMS, CONTEXTS AND PRACTICE 
SIGLA: ACT105A
CRÉDITOS: 10
MÓDULOS: 02
CARÁCTER: OPTATIVO
TIPO: CÁTEDRA
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACT103C,"CURSO: CUERPO Y MEMORIA
TRADUCCION: BODY AND MEMORY
SIGLA: ACT103C
CRÉDITOS: 10
MÓDULOS: 02
CARÁCTER: OPTATIVO
TIPO: TALLER
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACO4007,"CURSO		:	TEATROLOGÍA II: APLICACIONES Y MATERIALIDADES 
TRADUCCIÓN	:	THEATROLOGY II: APPLICATIONS AND MATERIALITIES
SIGLA		:	ACO4007
"
Actuación,ACO4001,"CURSO		: PERFORMANCE Y ARTES VIVAS
TRADUCCIÓN	: PERFORMANCE AND LIVE ARTS THEATRE
SIGLA		: ACO4001
CRÉDITOS	: 10 UC / 6 SCT
MÓDULOS		: 02
REQUISITOS	: SIN REQUISITOS
RESTRICCIONES	: ALUMNOS DE POSTGRADO DE LA UA 33
CONECTOR	: Y
CARÁCTER	: OPTATIVO
TIPO		: CÁTEDRA
CALIFICACIÓN	: ESTÁNDAR (1-7)
PROFESOR	: ACADÉMICOS DE LA UA 34
DISCIPLINA	: ESTUDIOS Y PRÁCTICAS TEATRALES
PALABRAS CLAVE	: PERFORMANCE, ARTES VIVAS, TEATRO
NIVEL FORMATIVO	: DOCTORADO


DESCRIPCIÓN

El curso propone un acercamiento al concepto de performance en el marco de las prácticas artísticas como un campo en disputa que se gesta tanto en la práctica artística y el discurso crítico que la merodea. Desde esta perspectiva se propone revisar algunos hitos de la performance y discursos que se han hecho cargo de ella. Para esto se plantea a los estudiantes hacer un recorrido teórico con apertura a experiencias de puesta en espacio o ejercicios prácticos que expandan la discusión del seminario.

 
RESULTADOS DE APRENDIZAJE

Reflexionar en torno al concepto de performance, sus alcances en la práctica de las artes vivas y en el pensamiento contemporáneo.

Revisar y analizar obras, artistas, y movimientos culturales que sirvan de objeto de estudio para la reflexión sobre lo performativo y las performatividades en el campo de las artes.

Delimitar, describir y problematizar algunos conceptos clave que componen lo performático y sus aprehensiones en el teatro contemporáneo.

Propiciar la discusión y la toma de posición sobre el estudio de las performatividades, su archivación y el discurso crítico que lo circunda.

Practicar la escritura crítica y la experimentación de nuevos medios de transmisión en torno a las performatividades estudiadas en el curso.
 
 
CONTENIDOS

Discusiones conceptuales e historicidad en torno al concepto de performance.

Performance y artes vivas: disputa disciplinar.

Acciones de arte: contaminaciones, vínculos y expansiones.

Articulaciones de lo performático: Cuerpo, tiempo, espacio, medios y relatos.

Performance y sociedad.

Asuntos críticos sobre performance: la ruina, el registro, la crítica.
 

ESTRATEGIAS METODOLÓGICAS

Seminarios: los estudiantes deben trabajar y exponer núcleos de los textos y obras propuestas  para propiciar la discusión. El o la docente guía las discusiones y estimula a la investigación de nuevo contenido generando un cierre de las ideas expuestas y abriendo nuevas interrogantes. En paralelo, se generarán ejercicios prácticos y visionados en torno a los conceptos estudiados.
 

ESTRATEGIAS EVALUATIVAS
 
Proceso del seminario: portafolio/ puesta en espacio		: 60%


Escritura de un texto crítico final con entregas parciales	: 40%
 

BIBLIOGRAFÍA 

Mínima
 
Conquerwood, Dwight. Estudios de performance. Intervenciones e investigación radical. Conjunto 175 (2015): 1-13.
 
Fischer-Lichte, Erika. Estética de lo performativo, Abada Editores, 2011.

González, Francisco; López, Leonora; Smith, Brian. Performance Art en Chile. Ediciones Metales Pesados, Santiago de Chile, 2013.
 
Le Breton, David. De los sentidos al sentido: una antropología de los sentidos¨ y Fenomenología del comediante en el teatro contemporáneo. Cuerpo sensible,  Santiago: Metales Pesados, 2010, 37-91. 
 
Phelan, Peggy. Performance, Live Culture and Things of the Heart. Journal of Visual Culture, December 2003, Vol.2(3), pp.291-302

Taylor, Diana. Performance. Asunto Impreso Editores, Bs. As. 2012.


Complementaria
 
De Certeau, Michel. The practice of everyday life, Berkley: University of California Press, 1984.  

Fontanille, Jacques. Modos y campos de lo sensible y Figuras semióticas del cuerpo: la envoltura y la carne móvil. Lima: Fondo Editorial Universidad de Lima, 2008. 
 
Hurtado. M. L. (2019). Presentación: Cuerpos en intersección de lugares y tiempos en las performances de la (post)memoria. En F. Blanco y C. Opazo (Eds.), Actores, demandas, intersecciones: debates críticos en el Cono Sur. Santiago: Cuarto Propio. 
 
Oliveira, Claudia Marisa. Para uma dramaturgia do corpo. Análise e caracterizacao do corpo enquanto linguagem cénica na criacao artística espectacular. Repertorio; Teatro & danca/ Universidad Federal da Bahia N°|13, 2008.2, pp. 15-33. 
 
Sánchez, José Antonio. Ética de la representación. Revista Apuntes 138 (2013): 9-25."
Actuación,ACO286E,"CURSO: CUERPO Y ESPACIO ESCENICO
TRADUCCION: SCENIC BODY AND SPACE
SIGLA: ACO286E
CREDITOS: 10
MÓDULOS: 02
CARACTER: OPTATIVO
TIPO: TALLER
CALIFICACION: ESTANDAR (1-7)


I."
Actuación,ACO3023,"CURSO:TALLER DE CREACIÓN ESCÉNICA
TRADUCCIÓN:WORKSHOP ON STAGING
SIGLA:ACO3023
CRÉDITOS:10 
MÓDULOS:02
CARÁCTER:OPTATIVO
TIPO:TALLER
CALIFICACIÓN:ESTÁNDAR (1-7)
PALABRAS CLAVE:TEATRO, DIRECCIÓN TEATRAL, PUESTA EN ESCENA
NIVEL FORMATIVO:MAGÍSTER


I."
Actuación,ACO264E,"CURSO: HABILIDADES COMUNICATIVAS ORALES
TRADUCCION: ORAL COMMUNICATIVE ABILITIES
SIGLA: ACO264E
CRÉDITOS: 10
MÓDULOS: 02
CARÁCTER: OPTATIVO
TIPO: TALLER
CALIFICACION: ESTANDAR (1-7)


I."
