sigla,Prerrequisitos,Relación entre prerrequisitos y restricciones,Restricciones,Equivalencias
ACT113,No tiene,No tiene,No tiene,(ACT1213)
ACT107B,No tiene,No tiene,No tiene,No tiene
ACT107C,No tiene,No tiene,No tiene,No tiene
ACT112,No tiene,No tiene,No tiene,(ACT1214)
ACT105B,No tiene,No tiene,No tiene,No tiene
ACT111,No tiene,No tiene,No tiene,(ACT1211)
ACT106B,No tiene,No tiene,No tiene,No tiene
ACT106D,No tiene,No tiene,No tiene,(ACO236E o ACT1256)
ACT105A,No tiene,No tiene,No tiene,No tiene
ACT103A,ACT143,No tiene,No tiene,No tiene
ACT103C,ACT143,No tiene,No tiene,No tiene
ACT101C,(ACT141),No tiene,No tiene,(ACT1251 o ACT1261)
ACT101A,(ACT141),No tiene,No tiene,No tiene
ACT101B,(ACT141),No tiene,No tiene,(ACT1261)
ACO4001,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y (Escuela = Arte),No tiene
ACO4007,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
EAE105A,No tiene,No tiene,No tiene,(EAE100A o EAE102A o EAE102C o EAE102G o EAE102S)
EDU4035,No tiene,No tiene,No tiene,No tiene
EDU4030,No tiene,No tiene,No tiene,No tiene
EDU4222,(EDU4221),No tiene,No tiene,No tiene
END3110,No tiene,No tiene,No tiene,No tiene
END3010,No tiene,No tiene,No tiene,No tiene
ENB3110,No tiene,No tiene,No tiene,No tiene
ENF2524,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENA2502)
LET4491,LET4439 y LET4490,y, (Programa = Doct En Ling��stica),No tiene
MGP3020,No tiene,No tiene,No tiene,No tiene
MPT3040,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister) o (Nivel = Postitulo)),No tiene
MTC1020,No tiene,No tiene,No tiene,No tiene
MUC695D,(MUC694 o MUC694D o MUC903C o MUC903D),No tiene,No tiene,(MUC695 o MUC904D)
MUC721A,MUC720,No tiene,No tiene,(MUC721)
MUC903P,MUC902P o MUC693G,No tiene,No tiene,(MUC694G)
MUC907G,(MUC906G o MUC813 o MUC906E o MUC906F o MUC906H o MUC906I o MUC906J o MUC906K o MUC906L o MUC906M),No tiene,No tiene,(MUC814)
VIP501,(VIP053),No tiene,No tiene,No tiene
VIP071,(VIP044),No tiene,No tiene,No tiene
VIP070,(VIP041),No tiene,No tiene,No tiene
VIP055,(VIP041),No tiene,No tiene,No tiene
VIP054,(VIP005),No tiene,No tiene,No tiene
VIP053,(VIP041),No tiene,No tiene,No tiene
VIP052,(VIP030),No tiene,No tiene,No tiene
VIP051,(VIP041),No tiene,No tiene,No tiene
VIP050,No tiene,No tiene,No tiene,No tiene
VIP043,(VIP023),No tiene,No tiene,No tiene
VIP033,(VIP001),No tiene,No tiene,No tiene
VIP032,No tiene,No tiene,No tiene,(VIL303)
VIP030,(VIP020),No tiene,No tiene,No tiene
VIP020,No tiene,No tiene,No tiene,No tiene
VIP005,No tiene,No tiene,No tiene,No tiene
VIP004,No tiene,No tiene,No tiene,No tiene
VIP003,No tiene,No tiene,No tiene,(VIL104)
VIP001,No tiene,No tiene,No tiene,No tiene
VIL631,No tiene,No tiene, (Nivel = Pregrado),No tiene
VIL617,No tiene,No tiene,No tiene,No tiene
VIL608,No tiene,No tiene,No tiene,No tiene
VIL604,(BIO100P) o (VIP004),No tiene,No tiene,No tiene
VIL602,No tiene,No tiene,No tiene,No tiene
VIL521,(VIL107),No tiene,No tiene,No tiene
VIL520,(VIL121D y VIL201) o (VIL121D y VIL7000),No tiene,No tiene,No tiene
VIL511,VIL105 o VIL4001,No tiene,No tiene,No tiene
VIL510,(VIL100 y VIL200) o (VIL4000 y VIL200),No tiene,No tiene,No tiene
VIL502,VIL207 o VIL300B,No tiene,No tiene,No tiene
VIL501,VIL207 o VIL300B,No tiene,No tiene,No tiene
VIL500P,VIL102P o VIL8010,No tiene,No tiene,(VIL502P o VIL504P o VIL506P)
